account_id,customer_id,account_type,balance,currency,opening_date,status
1,1,جاري,23424.37,USD,2021-06-20,نشط
2,1,توفير,57382.92,SAR,2017-01-07,نشط
3,2,توفير,50085.13,USD,2021-12-15,نشط
4,2,جاري,38094.92,SAR,2020-08-16,نشط
5,3,توفير,93787.44,USD,2020-09-19,نشط
6,3,توفير,55203.83,SAR,2022-06-04,نشط
7,4,جاري,63559.66,SAR,2022-11-28,نشط
8,4,توفير,63362.35,EUR,2022-07-27,نشط
9,4,استثمار,96823.25,SAR,2021-05-15,نشط
10,5,استثمار,80779.89,SAR,2022-10-09,نشط
11,5,استثمار,71702.79,USD,2020-11-29,نشط
12,5,توفير,46332.1,SAR,2021-07-10,نشط
13,6,توفير,68097.97,USD,2023-10-11,نشط
14,6,توفير,6376.84,EUR,2023-08-05,نشط
15,6,استثمار,89506.19,USD,2024-07-29,نشط
16,7,استثمار,27443.84,USD,2025-02-18,نشط
17,7,توفير,83208.8,USD,2025-01-27,نشط
18,7,استثمار,20319.28,SAR,2024-12-23,نشط
19,8,توفير,30144.46,EUR,2019-12-27,نشط
20,8,توفير,2718.59,EUR,2022-07-04,نشط
21,8,جاري,46150.98,USD,2023-12-09,نشط
22,9,جاري,40730.23,SAR,2023-06-05,نشط
23,9,توفير,15372.07,SAR,2025-07-15,نشط
24,9,استثمار,46832.87,SAR,2022-09-14,نشط
25,10,جاري,59553.95,SAR,2020-11-01,نشط
26,10,توفير,95408.87,USD,2023-03-17,نشط
27,11,استثمار,98971.59,SAR,2022-02-14,نشط
28,12,استثمار,70148.93,USD,2023-05-14,نشط
29,12,استثمار,56492.6,USD,2019-12-05,نشط
30,12,استثمار,3966.56,USD,2023-01-16,نشط
31,13,استثمار,15279.07,SAR,2025-03-11,نشط
32,14,استثمار,20386.77,USD,2025-05-26,نشط
33,14,جاري,86900.39,EUR,2024-03-30,نشط
34,14,توفير,18618.6,EUR,2024-05-26,نشط
35,15,استثمار,31475.17,SAR,2024-10-31,نشط
36,15,توفير,22127.85,SAR,2025-07-04,نشط
37,16,توفير,25788.99,EUR,2025-07-18,نشط
38,16,استثمار,43787.12,SAR,2025-07-22,نشط
39,17,جاري,59616.83,USD,2020-10-21,نشط
40,17,جاري,49186.46,SAR,2020-06-11,نشط
41,18,استثمار,96245.48,SAR,2023-12-24,نشط
42,18,جاري,2474.93,EUR,2021-08-02,نشط
43,18,استثمار,41724.15,USD,2021-09-21,نشط
44,19,جاري,10008.09,EUR,2018-07-29,نشط
45,19,جاري,18797.46,EUR,2025-06-24,نشط
46,20,استثمار,280.52,EUR,2025-03-15,نشط
47,21,جاري,11996.69,SAR,2025-03-11,نشط
48,21,توفير,33794.0,SAR,2024-10-15,نشط
49,22,استثمار,90295.63,SAR,2025-07-09,نشط
50,23,استثمار,30050.71,SAR,2025-02-21,نشط
51,23,جاري,93097.68,SAR,2024-01-11,نشط
52,23,توفير,43671.26,SAR,2025-06-28,نشط
53,24,توفير,45159.01,SAR,2025-07-17,نشط
54,24,جاري,84710.83,SAR,2025-06-15,نشط
55,24,جاري,16255.81,SAR,2025-07-19,نشط
56,25,استثمار,41985.84,SAR,2025-04-22,نشط
57,26,توفير,26137.27,USD,2022-02-17,نشط
58,27,جاري,85317.69,USD,2024-06-28,نشط
59,28,استثمار,36154.36,EUR,2024-11-20,نشط
60,28,توفير,96630.04,SAR,2018-06-27,نشط
61,29,استثمار,66799.43,USD,2021-08-03,نشط
62,29,استثمار,21585.11,EUR,2020-09-04,نشط
63,29,جاري,53358.22,USD,2021-09-22,نشط
64,30,جاري,13950.38,EUR,2022-12-28,نشط
65,31,توفير,84571.19,EUR,2025-06-04,نشط
66,32,توفير,70477.21,USD,2021-03-04,نشط
67,33,استثمار,60611.17,EUR,2021-05-29,نشط
68,33,استثمار,40124.19,EUR,2025-03-04,نشط
69,34,جاري,56622.97,EUR,2021-08-06,نشط
70,35,جاري,10139.18,USD,2021-05-13,نشط
71,36,توفير,40872.59,SAR,2025-01-12,نشط
72,36,توفير,114.8,USD,2025-06-12,نشط
73,36,جاري,45429.25,SAR,2024-02-25,نشط
74,37,جاري,53949.19,USD,2022-02-18,نشط
75,37,جاري,76497.05,EUR,2019-07-15,نشط
76,38,توفير,27495.68,SAR,2021-09-05,نشط
77,39,توفير,91877.32,USD,2024-12-25,نشط
78,39,توفير,83405.39,SAR,2024-09-08,نشط
79,39,توفير,22509.21,USD,2025-01-21,نشط
80,40,توفير,15228.33,EUR,2022-12-08,نشط
81,40,توفير,37484.77,USD,2024-03-14,نشط
82,41,جاري,57932.09,EUR,2023-07-20,نشط
83,42,توفير,84613.48,USD,2025-04-23,نشط
84,43,جاري,38003.93,SAR,2020-12-10,نشط
85,43,استثمار,95455.41,EUR,2025-02-21,نشط
86,44,استثمار,8127.06,SAR,2025-05-07,نشط
87,44,جاري,79372.28,SAR,2025-04-29,نشط
88,45,توفير,99023.17,EUR,2024-11-24,نشط
89,45,جاري,40017.94,SAR,2024-09-13,نشط
90,45,جاري,98987.64,USD,2025-01-16,نشط
91,46,استثمار,1650.17,USD,2023-02-24,نشط
92,46,جاري,56474.48,EUR,2019-05-13,نشط
93,46,توفير,7161.58,USD,2021-11-13,نشط
94,47,استثمار,94101.16,USD,2024-06-22,نشط
95,47,جاري,68188.29,SAR,2025-05-11,نشط
96,48,جاري,88830.95,SAR,2020-03-09,نشط
